File Name,Hash MD5,Hash SHA1,Directory,File Type,Magic Bytes
File090,3e736f0149faed08b112e43245750aa8,20c0b1492e950b392bf8088f673a5bb9072983cc,E:\File\File090,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File090,3e736f0149faed08b112e43245750aa8,20c0b1492e950b392bf8088f673a5bb9072983cc,G:\Users\dchoi\Documents\File\File090,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File107,62b5f962ab419a0e7d39693a47f6f8cf,85f3663b76b7a5cf7a6a7509c92bfbffc574a15f,E:\File\File107,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File107,62b5f962ab419a0e7d39693a47f6f8cf,85f3663b76b7a5cf7a6a7509c92bfbffc574a15f,G:\Users\dchoi\Documents\File\File107,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File113,8019c9631f622de19c81a3e19df8b4ed,eb7d1a333bc894fb8c1a9afa2f70768246f9fa0c,E:\File\File113,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File113,8019c9631f622de19c81a3e19df8b4ed,eb7d1a333bc894fb8c1a9afa2f70768246f9fa0c,G:\Users\dchoi\Documents\File\File113,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File124,d2183bc6bc61647833e480df21079df5,eeb2d7a4366130e5523204e5e85832c7a0b2d5be,E:\File\File124,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File124,d2183bc6bc61647833e480df21079df5,eeb2d7a4366130e5523204e5e85832c7a0b2d5be,G:\Users\dchoi\Documents\File\File124,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File127,07167ed9288a6fb574bbb0ad229bf1b0,ce30a350e536ad0ae9af5f625a0213d6fbdd8e6b,E:\File\File127,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File127,07167ed9288a6fb574bbb0ad229bf1b0,ce30a350e536ad0ae9af5f625a0213d6fbdd8e6b,G:\Users\dchoi\Documents\File\File127,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File133,89e432c568ecd36d5136ce58c923eb9a,0d7e846937431043925526e882e17ca758adb83d,E:\File\File133,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File133,89e432c568ecd36d5136ce58c923eb9a,0d7e846937431043925526e882e17ca758adb83d,G:\Users\dchoi\Documents\File\File133,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File140,f83e3fd9b34363578c2128dc3eac6f01,64d091ad38f3289dcdaac720635577f1fabbcea6,E:\File\File140,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File140,f83e3fd9b34363578c2128dc3eac6f01,64d091ad38f3289dcdaac720635577f1fabbcea6,G:\Users\dchoi\Desktop\File140,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File152,d647f67138863d8bf85b246774392709,c5eec9ec4683f0eafa40897a37d7d88b52fc21a6,E:\File\File152,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File152,d647f67138863d8bf85b246774392709,c5eec9ec4683f0eafa40897a37d7d88b52fc21a6,G:\Users\dchoi\Music\File152,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File163,0691b1534a7b7dfa1f311471d386d105,68623a4e28d08d0de4e03b9089981c77563d58ba,E:\File\File163,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File163,0691b1534a7b7dfa1f311471d386d105,68623a4e28d08d0de4e03b9089981c77563d58ba,G:\Users\dchoi\Documents\File\File163,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File205,eae001e9a70c97bb5a2e6f17849c1d12,72cc668b05bac25159ee0198ce375b4358ab375c,E:\File\File205,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File205,eae001e9a70c97bb5a2e6f17849c1d12,72cc668b05bac25159ee0198ce375b4358ab375c,G:\Users\dchoi\Downloads\File205,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File214,3938baaa0bb6e35e2420178db164cb3d,03ad96e61cf716ff65919902d92c5cff197eee2f,E:\File\File214,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File214,3938baaa0bb6e35e2420178db164cb3d,03ad96e61cf716ff65919902d92c5cff197eee2f,G:\Users\dchoi\Downloads\File214,JPEG-JFIF,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File219,e87decf883153221f84d73f70bb2f53b,043296334c60c14c8be4fce8b1a4bb962847581a,E:\File\File219,JPEG-JFIF,FFD8FFE000104558494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File219,e87decf883153221f84d73f70bb2f53b,043296334c60c14c8be4fce8b1a4bb962847581a,G:\Users\dchoi\AppData\Local\File219,JPEG-JFIF,FFD8FFE000104558494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File045,6d8f6f9f0df51f804f0d9e706373d881,1a4ac39badd635bb1a9e764a70e72fa901b3c98d,E:\File\File045,JPEG-EXIF,FFD8FFE100104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File045,6d8f6f9f0df51f804f0d9e706373d881,1a4ac39badd635bb1a9e764a70e72fa901b3c98d,G:\Users\dchoi\Documents\File\File045,JPEG-EXIF,FFD8FFE100104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F
File143,cef114c5875ba465fbdcb7dc7b297a42,b0e30d82001184e7373b2576fc229609046f104f,E:\File\File143,JPEG,FFD8FF0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD599324499226887DCC22
File143,cef114c5875ba465fbdcb7dc7b297a42,b0e30d82001184e7373b2576fc229609046f104f,G:\Users\dchoi\Desktop\File143,JPEG,FFD8FF0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD599324499226887DCC22
File008,75c7e160e5e35d778df5907c2c94dbd0,8a8b3c46ff4cb34085de75c055c43f3cc043cc1c,E:\File008,PNG,89504E470D0A1A0A0000000D4C454E5A00000388000004EC0806000000C272AC0C0001000049444154789CECFD799C6DD975
File008,75c7e160e5e35d778df5907c2c94dbd0,8a8b3c46ff4cb34085de75c055c43f3cc043cc1c,E:\File\File008,PNG,89504E470D0A1A0A0000000D4C454E5A00000388000004EC0806000000C272AC0C0001000049444154789CECFD799C6DD975
File009,dcff3b11da469dab3029d65b9a9a026d,08c81c41b9bba9ec78f908a770a2144ddca93ab3,E:\File009,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD5993243992
File009,dcff3b11da469dab3029d65b9a9a026d,08c81c41b9bba9ec78f908a770a2144ddca93ab3,E:\File\File009,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD5993243992
File019,9d5089314e21bb5001c52cb6228d9e0a,ac7b220cbe0494f89ce685d7cbed849f2f992b73,E:\File\File019,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD79B025D779
File019,9d5089314e21bb5001c52cb6228d9e0a,ac7b220cbe0494f89ce685d7cbed849f2f992b73,G:\Users\dchoi\Documents\File\File019,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD79B025D779
File036,a272e6b746211b62152db107c265ec14,9720f66f73dcbe0ab836b55ed8e8ca6ff343744a,E:\File\File036,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD69B0655976
File036,a272e6b746211b62152db107c265ec14,9720f66f73dcbe0ab836b55ed8e8ca6ff343744a,G:\Users\dchoi\Documents\File\File036,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD69B0655976
File041,6f821e51b6c6f33e1768187ddd1fba46,9d978cfbbe2db83aa8c852ec6955ddbf1969e504,E:\File\File041,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE992244B92
File041,6f821e51b6c6f33e1768187ddd1fba46,9d978cfbbe2db83aa8c852ec6955ddbf1969e504,G:\Users\dchoi\Documents\File\File041,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE992244B92
File059,ebc5f89869f7306fe420ca02a9677f9f,d8096c532ab21c705c08de6304672f2a0e6def72,E:\File\File059,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE9B36D4976
File059,ebc5f89869f7306fe420ca02a9677f9f,d8096c532ab21c705c08de6304672f2a0e6def72,G:\Users\dchoi\Documents\File\File059,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE9B36D4976
File068,4f81b658e6cc40fbf7c4664e14b24a29,6dc6d6c0568f695a24a42fcedfcb2409aa550654,E:\File\File068,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD59AF244B92
File068,4f81b658e6cc40fbf7c4664e14b24a29,6dc6d6c0568f695a24a42fcedfcb2409aa550654,G:\Users\dchoi\Documents\File\File068,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD59AF244B92
File069,314de58ba4408e243fc5e7f691014c26,96deb65cd007cbcf829b7ff81e5629b03cd87907,E:\File\File069,PNG,89504E470D0A1A0AE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B
File069,314de58ba4408e243fc5e7f691014c26,96deb65cd007cbcf829b7ff81e5629b03cd87907,G:\Users\dchoi\Documents\File\File069,PNG,89504E470D0A1A0AE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B
File070,4effb217ca55d93bb55192693ef0ee9c,72acaa872934217c3fc370c361a21e22853c6565,E:\File\File070,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD49B3654B76
File070,4effb217ca55d93bb55192693ef0ee9c,72acaa872934217c3fc370c361a21e22853c6565,G:\Users\dchoi\Documents\File\File070,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD49B3654B76
File072,5956a153b3144e3256047ab8eead83e5,463c9c107e470c360e75f5e7e569bd6c3a4ae9e1,E:\File\File072,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD699725C971
File072,5956a153b3144e3256047ab8eead83e5,463c9c107e470c360e75f5e7e569bd6c3a4ae9e1,G:\Users\dchoi\Documents\File\File072,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD699725C971
File098,e23a82888ff953e592c9935f447348e7,78146598cdd205e741b122cf067352b1d7ec9cb7,E:\File\File098,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD69AC6DDB75
File098,e23a82888ff953e592c9935f447348e7,78146598cdd205e741b122cf067352b1d7ec9cb7,G:\Users\dchoi\Documents\File\File098,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD69AC6DDB75
File105,2e8f9dd9eacb56032b79a06250e949a6,1f7d9c86df7456e49ea0bc11e8a6a86c4c07923c,E:\File\File105,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDF993245B76
File105,2e8f9dd9eacb56032b79a06250e949a6,1f7d9c86df7456e49ea0bc11e8a6a86c4c07923c,G:\Users\dchoi\Documents\File\File105,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDF993245B76
File108,2083b7845475c50f4d3d0ce43abddf47,90f76c4eefb5140ed52e3cb09aa9dafe54e90501,E:\File\File108,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE9B22C4992
File108,2083b7845475c50f4d3d0ce43abddf47,90f76c4eefb5140ed52e3cb09aa9dafe54e90501,G:\Users\dchoi\Documents\File\File108,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE9B22C4992
File125,b4eb8e22a873e2bff9a2c056c20da979,e182a3a956d31cf17eae094508ecda51bdf0f9b3,E:\File\File125,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD67B465C975
File125,b4eb8e22a873e2bff9a2c056c20da979,e182a3a956d31cf17eae094508ecda51bdf0f9b3,G:\Users\dchoi\Documents\File\File125,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD67B465C975
File126,eff3a759ab08c2c95fdba8c3cde7c1f8,2515298c9ac3310c0edada1f005041b1dacc8750,E:\File\File126,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD77B025C979
File126,eff3a759ab08c2c95fdba8c3cde7c1f8,2515298c9ac3310c0edada1f005041b1dacc8750,G:\Users\dchoi\Documents\File\File126,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD77B025C979
File184,edf9fd64840aca234a2cf40acd08026d,6faea83b19c6cbd392abe6df9c6fc0d10570d67b,E:\File\File184,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDF98F245B96
File184,edf9fd64840aca234a2cf40acd08026d,6faea83b19c6cbd392abe6df9c6fc0d10570d67b,G:\Users\dchoi\Documents\File\File184,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDF98F245B96
File190,2ebe5a3b54f71e08d247aaacd9536fc7,aef536ba6dd1c9f499815a869340642f8a1a7d2a,E:\File\File190,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE9B36DC775
File190,2ebe5a3b54f71e08d247aaacd9536fc7,aef536ba6dd1c9f499815a869340642f8a1a7d2a,G:\Users\dchoi\Documents\File\File190,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE9B36DC775
File218,bb84661af617931ba5b294a8737c421d,76a256f4ddd4584f562af45a06ba9952434d1671,E:\File\File218,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD69B06DC975
File218,bb84661af617931ba5b294a8737c421d,76a256f4ddd4584f562af45a06ba9952434d1671,G:\Users\dchoi\AppData\Local\File218,PNG,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD69B06DC975
File103,1f6d1bba0572b67079ce8b19f66377f4,310d4f9892781915a9b1a06be70a145e13089b8a,E:\File\File103,PDF-1.4,255044462D312E340A25F6E4FCDF0A312030206F626A0A3C3C0A2F54797065202F436174616C6F670A2F56657273696F6E20
File103,1f6d1bba0572b67079ce8b19f66377f4,310d4f9892781915a9b1a06be70a145e13089b8a,G:\Users\dchoi\Documents\File\File103,PDF-1.4,255044462D312E340A25F6E4FCDF0A312030206F626A0A3C3C0A2F54797065202F436174616C6F670A2F56657273696F6E20
File182,adc7a2cddbfa9080df9a9bce33153410,7774fd6a224c351c149d5db71d5c40fcfa762bf1,E:\File\File182,PDF-1.4,255044462D312E340D25E2E3CFD30D0A313231332030206F626A0D3C3C2F4C696E656172697A656420312F4C203439303836
File182,adc7a2cddbfa9080df9a9bce33153410,7774fd6a224c351c149d5db71d5c40fcfa762bf1,G:\Users\dchoi\Documents\File\File182,PDF-1.4,255044462D312E340D25E2E3CFD30D0A313231332030206F626A0D3C3C2F4C696E656172697A656420312F4C203439303836
File018,5bd7a1b4904acc6280e2c1924a627860,2881a4e443a0aab7839bdf5647e9438afbe8bf24,E:\File\File018,PDF-1.5,255044462D312E350A25F6E4FCDF0A312030206F626A0A3C3C0A2F54797065202F436174616C6F670A2F5061676573203220
File018,5bd7a1b4904acc6280e2c1924a627860,2881a4e443a0aab7839bdf5647e9438afbe8bf24,G:\Users\dchoi\Documents\File\File018,PDF-1.5,255044462D312E350A25F6E4FCDF0A312030206F626A0A3C3C0A2F54797065202F436174616C6F670A2F5061676573203220
File123,bd0ea60d14eea5566361109dc08af4ae,e84d7eedce3c34193739ab5f41af545a56467971,E:\File\File123,PDF-1.5,255044462D312E350D0A25B5B5B5B50D0A312030206F626A0D0A3C3C2F547970652F436174616C6F672F5061676573203220
File123,bd0ea60d14eea5566361109dc08af4ae,e84d7eedce3c34193739ab5f41af545a56467971,G:\Users\dchoi\Documents\File\File123,PDF-1.5,255044462D312E350D0A25B5B5B5B50D0A312030206F626A0D0A3C3C2F547970652F436174616C6F672F5061676573203220
File132,d0787c3ca7aab644472e1a015c23597c,7c0efa4720977994df80da127d1f3fd7f278d197,E:\File\File132,PDF-1.6,255044462D312E360D25E2E3CFD30D0A3433312030206F626A0D3C3C2F4C696E656172697A656420312F4C20353838313532
File132,d0787c3ca7aab644472e1a015c23597c,7c0efa4720977994df80da127d1f3fd7f278d197,G:\Users\dchoi\Documents\File\File132,PDF-1.6,255044462D312E360D25E2E3CFD30D0A3433312030206F626A0D3C3C2F4C696E656172697A656420312F4C20353838313532
File022,dc76bac39b0b05024c5dc4e167430170,994bddfd345637ae2abcdd587fe884ccee627104,E:\File\File022,PDF-1.7,255044462D312E370A25F6E4FCDF0A312030206F626A0A3C3C0A2F50616765732032203020520A2F54797065202F43617461
File022,dc76bac39b0b05024c5dc4e167430170,994bddfd345637ae2abcdd587fe884ccee627104,G:\Users\dchoi\Documents\File\File022,PDF-1.7,255044462D312E370A25F6E4FCDF0A312030206F626A0A3C3C0A2F50616765732032203020520A2F54797065202F43617461
File066,597122e0437a3753b00487694f30de80,a99f8441c9dc40ce170c0b7e129caff0ee4206ea,E:\File\File066,PDF-1.7,255044462D312E370A25E2E3CFD30A362030206F626A0A3C3C2F46696C7465722F466C6174654465636F64652F4C656E6774
File066,597122e0437a3753b00487694f30de80,a99f8441c9dc40ce170c0b7e129caff0ee4206ea,G:\Users\dchoi\Documents\File\File066,PDF-1.7,255044462D312E370A25E2E3CFD30A362030206F626A0A3C3C2F46696C7465722F466C6174654465636F64652F4C656E6774
File135,14ca718fd2c6718e4a31472da950627a,363e3fb566ee15d4f4a5c35ceefbd5d1a5343f03,E:\File\File135,PDF-1.7,255044462D312E370D25E2E3CFD30D0A312030206F626A0A3C3C2F4163726F466F726D2035203020522F4C616E6728656E29
File135,14ca718fd2c6718e4a31472da950627a,363e3fb566ee15d4f4a5c35ceefbd5d1a5343f03,G:\Users\dchoi\Documents\File\File135,PDF-1.7,255044462D312E370D25E2E3CFD30D0A312030206F626A0A3C3C2F4163726F466F726D2035203020522F4C616E6728656E29
File138,302b502d4e62ce9364d06014e544c095,418baca3e862279dd832d4489d6a82d8665168ba,E:\File\File138,PDF-1.7,255044462D312E370A25E2E3CFD30A312030206F626A0A3C3C2F436F6C6F7253706163652F446576696365477261792F5375
File138,302b502d4e62ce9364d06014e544c095,418baca3e862279dd832d4489d6a82d8665168ba,G:\Users\dchoi\Documents\File\File138,PDF-1.7,255044462D312E370A25E2E3CFD30A312030206F626A0A3C3C2F436F6C6F7253706163652F446576696365477261792F5375
File156,8e984f349c1855d2ac331a822f548ddd,a8a0da335bc884d7c7314719036f326c92233995,E:\File\File156,PDF-1.7,255044462D312E370A25F6E4FCDF0A312030206F626A0A3C3C0A2F54797065202F436174616C6F670A2F5061676573203220
File156,8e984f349c1855d2ac331a822f548ddd,a8a0da335bc884d7c7314719036f326c92233995,G:\Users\dchoi\Music\File156,PDF-1.7,255044462D312E370A25F6E4FCDF0A312030206F626A0A3C3C0A2F54797065202F436174616C6F670A2F5061676573203220
File199,fd3900a6c106515c2db20b09720c7b3d,cf4cfbf3c7f8db99bedb4b58242b5a93f2e24408,E:\File\File199,PDF-1.7,255044462D312E370D0A25B5B5B5B50D0A312030206F626A0D0A3C3C2F547970652F436174616C6F672F5061676573203220
File199,fd3900a6c106515c2db20b09720c7b3d,cf4cfbf3c7f8db99bedb4b58242b5a93f2e24408,G:\Users\dchoi\Documents\File\File199,PDF-1.7,255044462D312E370D0A25B5B5B5B50D0A312030206F626A0D0A3C3C2F547970652F436174616C6F672F5061676573203220
File007,9184f89abe4a76d7a312312396473c2c,44e9c9a846f09707c247e4d4d4a3087c8574b4f1,E:\File007,DOCX,504B030414000600080000002100D4A2463FD9010000EC0900001300D3015B436F6E74656E745F54797065735D2E786D6C20
File007,9184f89abe4a76d7a312312396473c2c,44e9c9a846f09707c247e4d4d4a3087c8574b4f1,E:\File\File007,DOCX,504B030414000600080000002100D4A2463FD9010000EC0900001300D3015B436F6E74656E745F54797065735D2E786D6C20
File010,df23a5f65a651a5368a1f4c68b4537fc,fa74b7d0e1cec72539108a3cd9fc2bac6a7210e3,E:\File010,DOCX,504B0304140006000800000021003CF321F4570200009F1600001300C0015B436F6E74656E745F54797065735D2E786D6C20
File010,df23a5f65a651a5368a1f4c68b4537fc,fa74b7d0e1cec72539108a3cd9fc2bac6a7210e3,E:\File\File010,DOCX,504B0304140006000800000021003CF321F4570200009F1600001300C0015B436F6E74656E745F54797065735D2E786D6C20
File012,cd7a8a6e473ca1693ae557da91650b8b,94158316e899691b587a346e5a5e5df2d6fcf437,E:\File012,DOCX,504B03041400060008000000210004E86306F70100009B0A0000130008025B436F6E74656E745F54797065735D2E786D6C20
File012,cd7a8a6e473ca1693ae557da91650b8b,94158316e899691b587a346e5a5e5df2d6fcf437,E:\File\File012,DOCX,504B03041400060008000000210004E86306F70100009B0A0000130008025B436F6E74656E745F54797065735D2E786D6C20
File014,79c0374c3dc8abfddac0c302d0330529,9ba252ab7303b9dbd6df8aab350e88da7f43fc1d,E:\File014,DOCX,504B030414000600080000002100E4A7B06FEB010000350D0000130008025B436F6E74656E745F54797065735D2E786D6C20
File014,79c0374c3dc8abfddac0c302d0330529,9ba252ab7303b9dbd6df8aab350e88da7f43fc1d,E:\File\File014,DOCX,504B030414000600080000002100E4A7B06FEB010000350D0000130008025B436F6E74656E745F54797065735D2E786D6C20
File031,18ae60e913174c448c66c4bb674936e7,10d5a709306eb512560ddbe30e601a9e9008cf9e,E:\File\File031,DOCX,504B0304140006000800000021009884F0A8EB010000220A00001300CA015B436F6E74656E745F54797065735D2E786D6C20
File031,18ae60e913174c448c66c4bb674936e7,10d5a709306eb512560ddbe30e601a9e9008cf9e,G:\Users\dchoi\Documents\File\File031,DOCX,504B0304140006000800000021009884F0A8EB010000220A00001300CA015B436F6E74656E745F54797065735D2E786D6C20
File032,93048e6c41c1e52a2be85096b8df6614,5db12a5ec83b30e7b4d690f60159afd7e027fe04,E:\File\File032,DOCX,504B030414000600080000002100E679A397BA0100007D0D0000130008025B436F6E74656E745F54797065735D2E786D6C20
File032,93048e6c41c1e52a2be85096b8df6614,5db12a5ec83b30e7b4d690f60159afd7e027fe04,G:\Users\dchoi\Documents\File\File032,DOCX,504B030414000600080000002100E679A397BA0100007D0D0000130008025B436F6E74656E745F54797065735D2E786D6C20
File035,0c5393a75584590513c78674fa3f0d6f,09671885a19250f7c5512043ea3816b174e150e5,E:\File\File035,DOCX,504B030414000000080000002100610DD4924202000075140000130000005B436F6E74656E745F54797065735D2E786D6CCC
File035,0c5393a75584590513c78674fa3f0d6f,09671885a19250f7c5512043ea3816b174e150e5,G:\Users\dchoi\Documents\File\File035,DOCX,504B030414000000080000002100610DD4924202000075140000130000005B436F6E74656E745F54797065735D2E786D6CCC
File043,43e1b1fb5bcd16c937b0da2c4a6e540c,661d2ddf9bd727de31c653aba3edd83c19e0959a,E:\File\File043,DOCX,504B03041400020008004A247659FB70553B11530000494E030011001100776F72642F646F63756D656E742E786D6C55540D
